1,2975
2,2412
3,2523
4,2805
5,2856
6,3447
7,3546
8,3908
9,3505
10,3371
11,2996
12,3138
13,3458
14,3541
15,3686
16,5049
17,2746
18,2639
19,2999
20,3794
21,4069
22,3793
23,948
24,1410
25,3661
26,5528
27,3787
28,3934
29,4304
30,5325
31,3256
32,3370
33,3260
34,4189
35,5326
36,3440
37,3362
38,3209
39,3005
40,3378
41,4977
42,4161
43,4618
44,4900
45,5319
46,2715
47,3843
48,5568
49,3926
50,3948
51,6351
52,4516
53,3543
54,4258
55,3799
56,4430
57,4498
58,5527
59,3681
60,4562
61,3437
62,4249
63,5609
64,9037
65,4214
66,3203
67,3059
68,3512
69,4237
70,4365
71,4296
72,5610
73,3309
74,5634
75,7116
76,3968
77,4662
78,4471
79,5910
80,3328
81,4724
82,3546
83,3625
84,5433
85,4161
86,3362
87,4382
88,3140
89,5174
90,3832
91,6672
92,4251
93,4009
94,5259
95,4956
96,4362
97,3866
98,6665
99,5761
100,4226
101,3376
102,3412
103,4365
104,4058
105,5140
106,5195
107,5920
108,4069
109,3182
110,3867
111,5206
112,3593
113,4563
114,4758
115,3331
116,3227
117,4671
118,4052
119,4025
120,5847
121,4136
122,4802
123,3080
124,4217
125,3796
126,4709
127,5155
128,4247
129,4697
130,4922
131,3849
132,3358
133,6704
134,6826
135,3940
136,5711
137,5282
138,4880
139,5752
140,4630
141,5028
142,4476
143,3683
144,3141
145,3865
146,5943
147,4996
148,3846
149,4437
150,3188
151,3444
152,3505
153,4176
154,5929
155,4126
156,4093
157,3929
158,4869
159,3794
160,4278
161,6276
162,4529
163,4842
164,4637
165,3019
166,4050
167,4497
168,5103
169,5242
170,3530
171,3362
172,3577
173,3843
174,4206
175,3849
176,5426
177,4815
178,3282
179,4356
180,3528
181,3540
182,3724
